Image_Path,Overall_UX
D:/UI UX code/screenshots/img33.jpg,Bad UX
D:/UI UX code/screenshots/img330.jpg,Bad UX
D:/UI UX code/screenshots/img331.jpg,Bad UX
D:/UI UX code/screenshots/img332.jpg,Bad UX
D:/UI UX code/screenshots/img333.jpg,Bad UX
D:/UI UX code/screenshots/img334.jpg,Good UX
D:/UI UX code/screenshots/img335.jpg,Bad UX
D:/UI UX code/screenshots/img336.jpg,Good UX
D:/UI UX code/screenshots/img337.jpg,Good UX
D:/UI UX code/screenshots/img338.jpg,Bad UX
D:/UI UX code/screenshots/img339.jpg,Bad UX
D:/UI UX code/screenshots/img34.jpg,Bad UX
D:/UI UX code/screenshots/img340.jpg,Good UX
D:/UI UX code/screenshots/img341.jpg,Good UX
D:/UI UX code/screenshots/img342.jpg,Bad UX
D:/UI UX code/screenshots/img343.jpg,Bad UX
D:/UI UX code/screenshots/img344.jpg,Bad UX
D:/UI UX code/screenshots/img345.jpg,Bad UX
D:/UI UX code/screenshots/img346.jpg,Good UX
D:/UI UX code/screenshots/img347.jpg,Bad UX
D:/UI UX code/screenshots/img348.jpg,Bad UX
D:/UI UX code/screenshots/img349.jpg,Bad UX
D:/UI UX code/screenshots/img35.jpg,Good UX
D:/UI UX code/screenshots/img350.jpg,Bad UX
D:/UI UX code/screenshots/img351.jpg,Bad UX
D:/UI UX code/screenshots/img352.jpg,Bad UX
D:/UI UX code/screenshots/img353.jpg,Bad UX
D:/UI UX code/screenshots/img354.jpg,Good UX
D:/UI UX code/screenshots/img355.jpg,Bad UX
D:/UI UX code/screenshots/img356.jpg,Good UX
D:/UI UX code/screenshots/img357.jpg,Bad UX
D:/UI UX code/screenshots/img358.jpg,Bad UX
D:/UI UX code/screenshots/img359.jpg,Bad UX
D:/UI UX code/screenshots/img36.jpg,Bad UX
D:/UI UX code/screenshots/img360.jpg,Good UX
D:/UI UX code/screenshots/img361.jpg,Bad UX
D:/UI UX code/screenshots/img362.jpg,Good UX
D:/UI UX code/screenshots/img363.jpg,Good UX
D:/UI UX code/screenshots/img364.jpg,Bad UX
D:/UI UX code/screenshots/img365.jpg,Bad UX
D:/UI UX code/screenshots/img366.jpg,Bad UX
D:/UI UX code/screenshots/img367.jpg,Bad UX
D:/UI UX code/screenshots/img368.jpg,Good UX
D:/UI UX code/screenshots/img369.jpg,Bad UX
D:/UI UX code/screenshots/img37.jpg,Good UX
D:/UI UX code/screenshots/img370.jpg,Bad UX
D:/UI UX code/screenshots/img371.jpg,Bad UX
D:/UI UX code/screenshots/img372.jpg,Bad UX
D:/UI UX code/screenshots/img373.jpg,Bad UX
D:/UI UX code/screenshots/img374.jpg,Bad UX
D:/UI UX code/screenshots/img375.jpg,Good UX
D:/UI UX code/screenshots/img376.jpg,Good UX
D:/UI UX code/screenshots/img377.jpg,Bad UX
D:/UI UX code/screenshots/img378.jpg,Bad UX
D:/UI UX code/screenshots/img379.jpg,Bad UX
D:/UI UX code/screenshots/img38.jpg,Good UX
D:/UI UX code/screenshots/img380.jpg,Bad UX
D:/UI UX code/screenshots/img381.jpg,Good UX
D:/UI UX code/screenshots/img382.jpg,Bad UX
D:/UI UX code/screenshots/img383.jpg,Bad UX
D:/UI UX code/screenshots/img384.jpg,Good UX
D:/UI UX code/screenshots/img385.jpg,Bad UX
D:/UI UX code/screenshots/img386.jpg,Bad UX
D:/UI UX code/screenshots/img387.jpg,Good UX
D:/UI UX code/screenshots/img388.jpg,Bad UX
D:/UI UX code/screenshots/img389.jpg,Bad UX
D:/UI UX code/screenshots/img39.jpg,Good UX
D:/UI UX code/screenshots/img390.jpg,Bad UX
D:/UI UX code/screenshots/img391.jpg,Bad UX
D:/UI UX code/screenshots/img392.jpg,Bad UX
D:/UI UX code/screenshots/img393.jpg,Bad UX
D:/UI UX code/screenshots/img394.jpg,Good UX
D:/UI UX code/screenshots/img395.jpg,Bad UX
D:/UI UX code/screenshots/img396.jpg,Bad UX
D:/UI UX code/screenshots/img397.jpg,Bad UX
D:/UI UX code/screenshots/img398.jpg,Bad UX
D:/UI UX code/screenshots/img399.jpg,Bad UX
D:/UI UX code/screenshots/img4.jpg,Bad UX
D:/UI UX code/screenshots/img40.jpg,Good UX
D:/UI UX code/screenshots/img400.jpg,Bad UX
D:/UI UX code/screenshots/img401.jpg,Bad UX
D:/UI UX code/screenshots/img402.jpg,Bad UX
D:/UI UX code/screenshots/img403.jpg,Bad UX
D:/UI UX code/screenshots/img404.jpg,Bad UX
D:/UI UX code/screenshots/img405.jpg,Bad UX
D:/UI UX code/screenshots/img406.jpg,Bad UX
D:/UI UX code/screenshots/img407.jpg,Bad UX
D:/UI UX code/screenshots/img408.jpg,Good UX
D:/UI UX code/screenshots/img409.jpg,Bad UX
D:/UI UX code/screenshots/img41.jpg,Bad UX
D:/UI UX code/screenshots/img410.jpg,Good UX
D:/UI UX code/screenshots/img411.jpg,Bad UX
D:/UI UX code/screenshots/img412.jpg,Bad UX
D:/UI UX code/screenshots/img413.jpg,Bad UX
D:/UI UX code/screenshots/img414.jpg,Good UX
D:/UI UX code/screenshots/img415.jpg,Good UX
D:/UI UX code/screenshots/img416.jpg,Bad UX
D:/UI UX code/screenshots/img417.jpg,Bad UX
D:/UI UX code/screenshots/img418.jpg,Bad UX
D:/UI UX code/screenshots/img419.jpg,Bad UX
D:/UI UX code/screenshots/img42.jpg,Good UX
D:/UI UX code/screenshots/img420.jpg,Bad UX
D:/UI UX code/screenshots/img421.jpg,Bad UX
D:/UI UX code/screenshots/img422.jpg,Bad UX
D:/UI UX code/screenshots/img423.jpg,Bad UX
D:/UI UX code/screenshots/img424.jpg,Good UX
D:/UI UX code/screenshots/img425.jpg,Bad UX
D:/UI UX code/screenshots/img426.jpg,Bad UX
D:/UI UX code/screenshots/img427.jpg,Bad UX
D:/UI UX code/screenshots/img428.jpg,Bad UX
D:/UI UX code/screenshots/img429.jpg,Bad UX
D:/UI UX code/screenshots/img43.jpg,Bad UX
D:/UI UX code/screenshots/img430.jpg,Bad UX
D:/UI UX code/screenshots/img431.jpg,Good UX
D:/UI UX code/screenshots/img432.jpg,Good UX
D:/UI UX code/screenshots/img433.jpg,Bad UX
D:/UI UX code/screenshots/img434.jpg,Bad UX
D:/UI UX code/screenshots/img435.jpg,Bad UX
D:/UI UX code/screenshots/img436.jpg,Bad UX
D:/UI UX code/screenshots/img437.jpg,Bad UX
D:/UI UX code/screenshots/img438.jpg,Good UX
D:/UI UX code/screenshots/img439.jpg,Bad UX
D:/UI UX code/screenshots/img44.jpg,Good UX
D:/UI UX code/screenshots/img440.jpg,Bad UX
D:/UI UX code/screenshots/img441.jpg,Bad UX
D:/UI UX code/screenshots/img442.jpg,Bad UX
D:/UI UX code/screenshots/img443.jpg,Bad UX
D:/UI UX code/screenshots/img444.jpg,Bad UX
D:/UI UX code/screenshots/img445.jpg,Bad UX
D:/UI UX code/screenshots/img446.jpg,Good UX
D:/UI UX code/screenshots/img447.jpg,Bad UX
D:/UI UX code/screenshots/img448.jpg,Bad UX
D:/UI UX code/screenshots/img449.jpg,Bad UX
D:/UI UX code/screenshots/img45.jpg,Good UX
D:/UI UX code/screenshots/img450.jpg,Bad UX
D:/UI UX code/screenshots/img451.jpg,Bad UX
D:/UI UX code/screenshots/img452.jpg,Bad UX
D:/UI UX code/screenshots/img453.jpg,Bad UX
D:/UI UX code/screenshots/img454.jpg,Bad UX
D:/UI UX code/screenshots/img455.jpg,Bad UX
D:/UI UX code/screenshots/img456.jpg,Bad UX
D:/UI UX code/screenshots/img457.jpg,Bad UX
D:/UI UX code/screenshots/img458.jpg,Good UX
D:/UI UX code/screenshots/img459.jpg,Bad UX
D:/UI UX code/screenshots/img46.jpg,Bad UX
D:/UI UX code/screenshots/img460.jpg,Bad UX
D:/UI UX code/screenshots/img461.jpg,Bad UX
D:/UI UX code/screenshots/img462.jpg,Bad UX
D:/UI UX code/screenshots/img463.jpg,Bad UX
D:/UI UX code/screenshots/img464.jpg,Bad UX
D:/UI UX code/screenshots/img465.jpg,Bad UX
D:/UI UX code/screenshots/img466.jpg,Good UX
D:/UI UX code/screenshots/img467.jpg,Good UX
D:/UI UX code/screenshots/img468.jpg,Bad UX
D:/UI UX code/screenshots/img469.jpg,Good UX
D:/UI UX code/screenshots/img47.jpg,Bad UX
D:/UI UX code/screenshots/img470.jpg,Good UX
D:/UI UX code/screenshots/img471.jpg,Bad UX
D:/UI UX code/screenshots/img472.jpg,Bad UX
D:/UI UX code/screenshots/img473.jpg,Good UX
D:/UI UX code/screenshots/img474.jpg,Good UX
D:/UI UX code/screenshots/img475.jpg,Good UX
D:/UI UX code/screenshots/img476.jpg,Bad UX
D:/UI UX code/screenshots/img477.jpg,Good UX
D:/UI UX code/screenshots/img478.jpg,Bad UX
D:/UI UX code/screenshots/img479.jpg,Bad UX
D:/UI UX code/screenshots/img48.jpg,Good UX
D:/UI UX code/screenshots/img480.jpg,Good UX
D:/UI UX code/screenshots/img481.jpg,Good UX
D:/UI UX code/screenshots/img482.jpg,Bad UX
D:/UI UX code/screenshots/img483.jpg,Good UX
D:/UI UX code/screenshots/img484.jpg,Bad UX
D:/UI UX code/screenshots/img485.jpg,Bad UX
D:/UI UX code/screenshots/img486.jpg,Good UX
D:/UI UX code/screenshots/img487.jpg,Bad UX
D:/UI UX code/screenshots/img488.jpg,Bad UX
D:/UI UX code/screenshots/img489.jpg,Bad UX
D:/UI UX code/screenshots/img49.jpg,Good UX
D:/UI UX code/screenshots/img490.jpg,Bad UX
D:/UI UX code/screenshots/img491.jpg,Good UX
D:/UI UX code/screenshots/img492.jpg,Bad UX
D:/UI UX code/screenshots/img493.jpg,Good UX
D:/UI UX code/screenshots/img494.jpg,Bad UX
D:/UI UX code/screenshots/img495.jpg,Bad UX
D:/UI UX code/screenshots/img496.jpg,Good UX
D:/UI UX code/screenshots/img497.jpg,Good UX
D:/UI UX code/screenshots/img498.jpg,Bad UX
D:/UI UX code/screenshots/img499.jpg,Bad UX
D:/UI UX code/screenshots/img5.jpg,Bad UX
D:/UI UX code/screenshots/img50.jpg,Bad UX
D:/UI UX code/screenshots/img500.jpg,Bad UX
D:/UI UX code/screenshots/img501.jpg,Good UX
D:/UI UX code/screenshots/img502.jpg,Good UX
D:/UI UX code/screenshots/img503.jpg,Bad UX
D:/UI UX code/screenshots/img504.jpg,Good UX
D:/UI UX code/screenshots/img505.jpg,Bad UX
D:/UI UX code/screenshots/img506.jpg,Bad UX
D:/UI UX code/screenshots/img507.jpg,Bad UX
D:/UI UX code/screenshots/img508.jpg,Good UX
D:/UI UX code/screenshots/img509.jpg,Bad UX
D:/UI UX code/screenshots/img51.jpg,Good UX
D:/UI UX code/screenshots/img510.jpg,Good UX
D:/UI UX code/screenshots/img511.jpg,Good UX
D:/UI UX code/screenshots/img512.jpg,Good UX
D:/UI UX code/screenshots/img513.jpg,Bad UX
D:/UI UX code/screenshots/img514.jpg,Good UX
D:/UI UX code/screenshots/img515.jpg,Bad UX
D:/UI UX code/screenshots/img516.jpg,Good UX
D:/UI UX code/screenshots/img517.jpg,Bad UX
D:/UI UX code/screenshots/img518.jpg,Good UX
D:/UI UX code/screenshots/img519.jpg,Good UX
D:/UI UX code/screenshots/img52.jpg,Bad UX
D:/UI UX code/screenshots/img520.jpg,Good UX
D:/UI UX code/screenshots/img521.jpg,Bad UX
D:/UI UX code/screenshots/img522.jpg,Bad UX
D:/UI UX code/screenshots/img523.jpg,Good UX
D:/UI UX code/screenshots/img524.jpg,Good UX
D:/UI UX code/screenshots/img525.jpg,Bad UX
D:/UI UX code/screenshots/img526.jpg,Bad UX
D:/UI UX code/screenshots/img527.jpg,Good UX
D:/UI UX code/screenshots/img528.jpg,Bad UX
D:/UI UX code/screenshots/img529.jpg,Bad UX
D:/UI UX code/screenshots/img53.jpg,Good UX
D:/UI UX code/screenshots/img530.jpg,Good UX
D:/UI UX code/screenshots/img531.jpg,Good UX
D:/UI UX code/screenshots/img532.jpg,Bad UX
D:/UI UX code/screenshots/img533.jpg,Good UX
D:/UI UX code/screenshots/img534.jpg,Bad UX
D:/UI UX code/screenshots/img535.jpg,Bad UX
D:/UI UX code/screenshots/img536.jpg,Bad UX
D:/UI UX code/screenshots/img537.jpg,Good UX
D:/UI UX code/screenshots/img538.jpg,Bad UX
D:/UI UX code/screenshots/img539.jpg,Bad UX
D:/UI UX code/screenshots/img54.jpg,Bad UX
D:/UI UX code/screenshots/img540.jpg,Bad UX
D:/UI UX code/screenshots/img541.jpg,Good UX
D:/UI UX code/screenshots/img542.jpg,Bad UX
D:/UI UX code/screenshots/img543.jpg,Bad UX
D:/UI UX code/screenshots/img544.jpg,Good UX
D:/UI UX code/screenshots/img545.jpg,Good UX
D:/UI UX code/screenshots/img546.jpg,Good UX
D:/UI UX code/screenshots/img547.jpg,Bad UX
D:/UI UX code/screenshots/img548.jpg,Good UX
D:/UI UX code/screenshots/img549.jpg,Bad UX
D:/UI UX code/screenshots/img55.jpg,Bad UX
D:/UI UX code/screenshots/img550.jpg,Good UX
D:/UI UX code/screenshots/img551.jpg,Bad UX
D:/UI UX code/screenshots/img552.jpg,Bad UX
D:/UI UX code/screenshots/img553.jpg,Bad UX
D:/UI UX code/screenshots/img554.jpg,Bad UX
D:/UI UX code/screenshots/img555.jpg,Bad UX
D:/UI UX code/screenshots/img556.jpg,Bad UX
D:/UI UX code/screenshots/img557.jpg,Bad UX
D:/UI UX code/screenshots/img558.jpg,Bad UX
D:/UI UX code/screenshots/img559.jpg,Bad UX
D:/UI UX code/screenshots/img56.jpg,Good UX
D:/UI UX code/screenshots/img560.jpg,Bad UX
D:/UI UX code/screenshots/img561.jpg,Bad UX
D:/UI UX code/screenshots/img562.jpg,Bad UX
D:/UI UX code/screenshots/img563.jpg,Bad UX
D:/UI UX code/screenshots/img564.jpg,Bad UX
D:/UI UX code/screenshots/img565.jpg,Bad UX
D:/UI UX code/screenshots/img566.jpg,Bad UX
D:/UI UX code/screenshots/img567.jpg,Good UX
D:/UI UX code/screenshots/img568.jpg,Bad UX
D:/UI UX code/screenshots/img569.jpg,Bad UX
D:/UI UX code/screenshots/img57.jpg,Bad UX
D:/UI UX code/screenshots/img570.jpg,Bad UX
D:/UI UX code/screenshots/img571.jpg,Bad UX
D:/UI UX code/screenshots/img572.jpg,Bad UX
D:/UI UX code/screenshots/img573.jpg,Good UX
D:/UI UX code/screenshots/img574.jpg,Good UX
D:/UI UX code/screenshots/img575.jpg,Good UX
D:/UI UX code/screenshots/img576.jpg,Bad UX
D:/UI UX code/screenshots/img577.jpg,Bad UX
D:/UI UX code/screenshots/img578.jpg,Good UX
D:/UI UX code/screenshots/img579.jpg,Bad UX
D:/UI UX code/screenshots/img58.jpg,Bad UX
D:/UI UX code/screenshots/img580.jpg,Good UX
D:/UI UX code/screenshots/img581.jpg,Bad UX
D:/UI UX code/screenshots/img582.jpg,Bad UX
D:/UI UX code/screenshots/img583.jpg,Bad UX
D:/UI UX code/screenshots/img584.jpg,Good UX
D:/UI UX code/screenshots/img585.jpg,Bad UX
D:/UI UX code/screenshots/img586.jpg,Bad UX
D:/UI UX code/screenshots/img587.jpg,Bad UX
D:/UI UX code/screenshots/img588.jpg,Good UX
D:/UI UX code/screenshots/img589.jpg,Bad UX
D:/UI UX code/screenshots/img59.jpg,Bad UX
D:/UI UX code/screenshots/img590.jpg,Bad UX
D:/UI UX code/screenshots/img591.jpg,Good UX
D:/UI UX code/screenshots/img592.jpg,Bad UX
D:/UI UX code/screenshots/img593.jpg,Bad UX
D:/UI UX code/screenshots/img594.jpg,Bad UX
D:/UI UX code/screenshots/img595.jpg,Bad UX
D:/UI UX code/screenshots/img596.jpg,Good UX
D:/UI UX code/screenshots/img597.jpg,Bad UX
D:/UI UX code/screenshots/img598.jpg,Bad UX
D:/UI UX code/screenshots/img599.jpg,Good UX
D:/UI UX code/screenshots/img6.jpg,Good UX
D:/UI UX code/screenshots/img60.jpg,Bad UX
D:/UI UX code/screenshots/img600.jpg,Bad UX
D:/UI UX code/screenshots/img601.jpg,Bad UX
D:/UI UX code/screenshots/img602.jpg,Good UX
D:/UI UX code/screenshots/img603.jpg,Bad UX
D:/UI UX code/screenshots/img604.jpg,Bad UX
D:/UI UX code/screenshots/img605.jpg,Bad UX
D:/UI UX code/screenshots/img606.jpg,Bad UX
D:/UI UX code/screenshots/img607.jpg,Good UX
D:/UI UX code/screenshots/img608.jpg,Good UX
D:/UI UX code/screenshots/img609.jpg,Good UX
D:/UI UX code/screenshots/img61.jpg,Good UX
D:/UI UX code/screenshots/img610.jpg,Good UX
D:/UI UX code/screenshots/img611.jpg,Bad UX
D:/UI UX code/screenshots/img612.jpg,Bad UX
D:/UI UX code/screenshots/img613.jpg,Bad UX
D:/UI UX code/screenshots/img614.jpg,Bad UX
D:/UI UX code/screenshots/img615.jpg,Good UX
D:/UI UX code/screenshots/img616.jpg,Good UX
D:/UI UX code/screenshots/img617.jpg,Bad UX
D:/UI UX code/screenshots/img618.jpg,Good UX
D:/UI UX code/screenshots/img619.jpg,Good UX
D:/UI UX code/screenshots/img62.jpg,Good UX
D:/UI UX code/screenshots/img620.jpg,Good UX
D:/UI UX code/screenshots/img621.jpg,Good UX
D:/UI UX code/screenshots/img622.jpg,Good UX
D:/UI UX code/screenshots/img623.jpg,Bad UX
D:/UI UX code/screenshots/img624.jpg,Bad UX
D:/UI UX code/screenshots/img625.jpg,Good UX
D:/UI UX code/screenshots/img626.jpg,Good UX
D:/UI UX code/screenshots/img627.jpg,Good UX
D:/UI UX code/screenshots/img628.jpg,Bad UX
D:/UI UX code/screenshots/img629.jpg,Bad UX
D:/UI UX code/screenshots/img63.jpg,Good UX
D:/UI UX code/screenshots/img630.jpg,Bad UX
D:/UI UX code/screenshots/img631.jpg,Bad UX
D:/UI UX code/screenshots/img632.jpg,Bad UX
D:/UI UX code/screenshots/img633.jpg,Bad UX
D:/UI UX code/screenshots/img634.jpg,Good UX
D:/UI UX code/screenshots/img635.jpg,Bad UX
D:/UI UX code/screenshots/img636.jpg,Good UX
D:/UI UX code/screenshots/img637.jpg,Bad UX
D:/UI UX code/screenshots/img638.jpg,Good UX
D:/UI UX code/screenshots/img639.jpg,Bad UX
D:/UI UX code/screenshots/img64.jpg,Good UX
D:/UI UX code/screenshots/img640.jpg,Bad UX
D:/UI UX code/screenshots/img641.jpg,Good UX
D:/UI UX code/screenshots/img642.jpg,Good UX
D:/UI UX code/screenshots/img643.jpg,Bad UX
D:/UI UX code/screenshots/img644.jpg,Good UX
D:/UI UX code/screenshots/img645.jpg,Bad UX
D:/UI UX code/screenshots/img646.jpg,Bad UX
D:/UI UX code/screenshots/img647.jpg,Good UX
D:/UI UX code/screenshots/img648.jpg,Good UX
D:/UI UX code/screenshots/img649.jpg,Good UX
D:/UI UX code/screenshots/img65.jpg,Good UX
D:/UI UX code/screenshots/img650.jpg,Bad UX
D:/UI UX code/screenshots/img651.jpg,Good UX
D:/UI UX code/screenshots/img652.jpg,Bad UX
D:/UI UX code/screenshots/img653.jpg,Bad UX
D:/UI UX code/screenshots/img654.jpg,Bad UX
D:/UI UX code/screenshots/img655.jpg,Bad UX
D:/UI UX code/screenshots/img656.jpg,Bad UX
D:/UI UX code/screenshots/img657.jpg,Good UX
D:/UI UX code/screenshots/img658.jpg,Bad UX
D:/UI UX code/screenshots/img659.jpg,Good UX
D:/UI UX code/screenshots/img66.jpg,Good UX
D:/UI UX code/screenshots/img660.jpg,Good UX
D:/UI UX code/screenshots/img661.jpg,Bad UX
D:/UI UX code/screenshots/img662.jpg,Bad UX
D:/UI UX code/screenshots/img663.jpg,Good UX
D:/UI UX code/screenshots/img664.jpg,Bad UX
D:/UI UX code/screenshots/img665.jpg,Bad UX
D:/UI UX code/screenshots/img666.jpg,Good UX
D:/UI UX code/screenshots/img667.jpg,Good UX
D:/UI UX code/screenshots/img668.jpg,Good UX
D:/UI UX code/screenshots/img669.jpg,Good UX
D:/UI UX code/screenshots/img67.jpg,Good UX
D:/UI UX code/screenshots/img670.jpg,Bad UX
D:/UI UX code/screenshots/img671.jpg,Bad UX
D:/UI UX code/screenshots/img672.jpg,Good UX
D:/UI UX code/screenshots/img673.jpg,Good UX
D:/UI UX code/screenshots/img674.jpg,Bad UX
D:/UI UX code/screenshots/img675.jpg,Good UX
D:/UI UX code/screenshots/img676.jpg,Bad UX
D:/UI UX code/screenshots/img677.jpg,Bad UX
D:/UI UX code/screenshots/img678.jpg,Good UX
D:/UI UX code/screenshots/img679.jpg,Bad UX
D:/UI UX code/screenshots/img68.jpg,Bad UX
D:/UI UX code/screenshots/img680.jpg,Bad UX
D:/UI UX code/screenshots/img681.jpg,Bad UX
D:/UI UX code/screenshots/img682.jpg,Good UX
D:/UI UX code/screenshots/img683.jpg,Bad UX
D:/UI UX code/screenshots/img684.jpg,Bad UX
D:/UI UX code/screenshots/img685.jpg,Bad UX
D:/UI UX code/screenshots/img686.jpg,Good UX
D:/UI UX code/screenshots/img687.jpg,Good UX
D:/UI UX code/screenshots/img688.jpg,Good UX
D:/UI UX code/screenshots/img689.jpg,Good UX
D:/UI UX code/screenshots/img69.jpg,Bad UX
D:/UI UX code/screenshots/img690.jpg,Good UX
D:/UI UX code/screenshots/img691.jpg,Good UX
D:/UI UX code/screenshots/img692.jpg,Good UX
D:/UI UX code/screenshots/img693.jpg,Good UX
D:/UI UX code/screenshots/img694.jpg,Bad UX
D:/UI UX code/screenshots/img695.jpg,Bad UX
D:/UI UX code/screenshots/img696.jpg,Good UX
D:/UI UX code/screenshots/img697.jpg,Bad UX
D:/UI UX code/screenshots/img698.jpg,Bad UX
D:/UI UX code/screenshots/img699.jpg,Good UX
D:/UI UX code/screenshots/img7.jpg,Bad UX
D:/UI UX code/screenshots/img70.jpg,Bad UX
D:/UI UX code/screenshots/img700.jpg,Bad UX
D:/UI UX code/screenshots/img701.jpg,Bad UX
D:/UI UX code/screenshots/img702.jpg,Bad UX
D:/UI UX code/screenshots/img703.jpg,Good UX
D:/UI UX code/screenshots/img704.jpg,Bad UX
D:/UI UX code/screenshots/img705.jpg,Bad UX
D:/UI UX code/screenshots/img706.jpg,Good UX
D:/UI UX code/screenshots/img707.jpg,Bad UX
D:/UI UX code/screenshots/img708.jpg,Bad UX
D:/UI UX code/screenshots/img709.jpg,Bad UX
D:/UI UX code/screenshots/img71.jpg,Good UX
D:/UI UX code/screenshots/img710.jpg,Good UX
D:/UI UX code/screenshots/img711.jpg,Bad UX
D:/UI UX code/screenshots/img712.jpg,Bad UX
D:/UI UX code/screenshots/img713.jpg,Bad UX
D:/UI UX code/screenshots/img714.jpg,Good UX
D:/UI UX code/screenshots/img715.jpg,Good UX
D:/UI UX code/screenshots/img716.jpg,Bad UX
D:/UI UX code/screenshots/img717.jpg,Bad UX
D:/UI UX code/screenshots/img718.jpg,Good UX
D:/UI UX code/screenshots/img719.jpg,Good UX
D:/UI UX code/screenshots/img72.jpg,Good UX
D:/UI UX code/screenshots/img720.jpg,Bad UX
D:/UI UX code/screenshots/img721.jpg,Bad UX
D:/UI UX code/screenshots/img722.jpg,Bad UX
D:/UI UX code/screenshots/img723.jpg,Good UX
D:/UI UX code/screenshots/img724.jpg,Bad UX
D:/UI UX code/screenshots/img725.jpg,Bad UX
D:/UI UX code/screenshots/img726.jpg,Bad UX
D:/UI UX code/screenshots/img727.jpg,Bad UX
D:/UI UX code/screenshots/img728.jpg,Bad UX
D:/UI UX code/screenshots/img729.jpg,Bad UX
D:/UI UX code/screenshots/img73.jpg,Bad UX
D:/UI UX code/screenshots/img730.jpg,Bad UX
D:/UI UX code/screenshots/img731.jpg,Bad UX
D:/UI UX code/screenshots/img732.jpg,Good UX
D:/UI UX code/screenshots/img733.jpg,Bad UX
D:/UI UX code/screenshots/img734.jpg,Bad UX
D:/UI UX code/screenshots/img735.jpg,Bad UX
D:/UI UX code/screenshots/img736.jpg,Bad UX
D:/UI UX code/screenshots/img737.jpg,Bad UX
D:/UI UX code/screenshots/img738.jpg,Bad UX
D:/UI UX code/screenshots/img739.jpg,Bad UX
D:/UI UX code/screenshots/img74.jpg,Good UX
D:/UI UX code/screenshots/img740.jpg,Bad UX
D:/UI UX code/screenshots/img741.jpg,Bad UX
D:/UI UX code/screenshots/img742.jpg,Bad UX
D:/UI UX code/screenshots/img743.jpg,Good UX
D:/UI UX code/screenshots/img744.jpg,Bad UX
D:/UI UX code/screenshots/img745.jpg,Bad UX
D:/UI UX code/screenshots/img746.jpg,Bad UX
D:/UI UX code/screenshots/img747.jpg,Bad UX
D:/UI UX code/screenshots/img748.jpg,Bad UX
D:/UI UX code/screenshots/img749.jpg,Bad UX
D:/UI UX code/screenshots/img75.jpg,Good UX
D:/UI UX code/screenshots/img750.jpg,Bad UX
D:/UI UX code/screenshots/img751.jpg,Good UX
D:/UI UX code/screenshots/img752.jpg,Good UX
D:/UI UX code/screenshots/img753.jpg,Good UX
D:/UI UX code/screenshots/img754.jpg,Bad UX
D:/UI UX code/screenshots/img755.jpg,Good UX
D:/UI UX code/screenshots/img756.jpg,Good UX
D:/UI UX code/screenshots/img757.jpg,Good UX
D:/UI UX code/screenshots/img758.jpg,Bad UX
D:/UI UX code/screenshots/img759.jpg,Bad UX
D:/UI UX code/screenshots/img76.jpg,Bad UX
D:/UI UX code/screenshots/img760.jpg,Bad UX
D:/UI UX code/screenshots/img761.jpg,Bad UX
D:/UI UX code/screenshots/img762.jpg,Good UX
D:/UI UX code/screenshots/img763.jpg,Bad UX
D:/UI UX code/screenshots/img764.jpg,Good UX
D:/UI UX code/screenshots/img765.jpg,Bad UX
D:/UI UX code/screenshots/img766.jpg,Bad UX
D:/UI UX code/screenshots/img767.jpg,Bad UX
D:/UI UX code/screenshots/img768.jpg,Good UX
D:/UI UX code/screenshots/img769.jpg,Good UX
D:/UI UX code/screenshots/img77.jpg,Good UX
D:/UI UX code/screenshots/img770.jpg,Good UX
D:/UI UX code/screenshots/img771.jpg,Good UX
D:/UI UX code/screenshots/img772.jpg,Bad UX
D:/UI UX code/screenshots/img773.jpg,Good UX
D:/UI UX code/screenshots/img774.jpg,Good UX
D:/UI UX code/screenshots/img775.jpg,Good UX
D:/UI UX code/screenshots/img776.jpg,Good UX
D:/UI UX code/screenshots/img777.jpg,Good UX
D:/UI UX code/screenshots/img778.jpg,Good UX
D:/UI UX code/screenshots/img779.jpg,Bad UX
D:/UI UX code/screenshots/img78.jpg,Bad UX
D:/UI UX code/screenshots/img780.jpg,Good UX
D:/UI UX code/screenshots/img781.jpg,Bad UX
D:/UI UX code/screenshots/img782.jpg,Bad UX
D:/UI UX code/screenshots/img783.jpg,Good UX
D:/UI UX code/screenshots/img784.jpg,Good UX
D:/UI UX code/screenshots/img785.jpg,Good UX
D:/UI UX code/screenshots/img786.jpg,Good UX
D:/UI UX code/screenshots/img787.jpg,Bad UX
D:/UI UX code/screenshots/img788.jpg,Bad UX
D:/UI UX code/screenshots/img789.jpg,Bad UX
D:/UI UX code/screenshots/img79.jpg,Good UX
D:/UI UX code/screenshots/img790.jpg,Bad UX
D:/UI UX code/screenshots/img791.jpg,Good UX
D:/UI UX code/screenshots/img792.jpg,Bad UX
D:/UI UX code/screenshots/img793.jpg,Bad UX
D:/UI UX code/screenshots/img794.jpg,Bad UX
D:/UI UX code/screenshots/img795.jpg,Good UX
D:/UI UX code/screenshots/img796.jpg,Bad UX
D:/UI UX code/screenshots/img797.jpg,Good UX
D:/UI UX code/screenshots/img798.jpg,Good UX
D:/UI UX code/screenshots/img799.jpg,Good UX
D:/UI UX code/screenshots/img8.jpg,Bad UX
D:/UI UX code/screenshots/img80.jpg,Bad UX
D:/UI UX code/screenshots/img800.jpg,Bad UX
D:/UI UX code/screenshots/img801.jpg,Bad UX
